trial_number,initial_temp,cooling_rate,iterations_per_temp,construction_iterations,instance,seed,obj_val,gap_pct
16,21.484659664533567,0.9224893817832707,150,42,K,33,926.23,8.204
17,21.602852324112835,0.9333658745418211,82,42,D,11,1015.491,7.573
17,21.602852324112835,0.9333658745418211,82,42,D,22,992.392,5.126
17,21.602852324112835,0.9333658745418211,82,42,D,33,989.073,4.775
17,21.602852324112835,0.9333658745418211,82,42,G,11,3391.472,6.717
17,21.602852324112835,0.9333658745418211,82,42,G,22,3357.659,5.653
17,21.602852324112835,0.9333658745418211,82,42,G,33,3386.043,6.546
17,21.602852324112835,0.9333658745418211,82,42,I,11,735.056,8.096
17,21.602852324112835,0.9333658745418211,82,42,I,22,733.609,7.884
17,21.602852324112835,0.9333658745418211,82,42,I,33,735.056,8.096
17,21.602852324112835,0.9333658745418211,82,42,K,11,931.729,8.847
17,21.602852324112835,0.9333658745418211,82,42,K,22,919.92,7.467
17,21.602852324112835,0.9333658745418211,82,42,K,33,926.23,8.204
18,374.3304421877384,0.9343346272902957,38,75,D,11,992.334,5.12
18,374.3304421877384,0.9343346272902957,38,75,D,22,1011.86,7.189
18,374.3304421877384,0.9343346272902957,38,75,D,33,989.073,4.775
18,374.3304421877384,0.9343346272902957,38,75,G,11,3521.821,10.819
18,374.3304421877384,0.9343346272902957,38,75,G,22,3516.675,10.657
18,374.3304421877384,0.9343346272902957,38,75,G,33,3529.572,11.063
18,374.3304421877384,0.9343346272902957,38,75,I,11,729.457,7.273
18,374.3304421877384,0.9343346272902957,38,75,I,22,735.056,8.096
18,374.3304421877384,0.9343346272902957,38,75,I,33,735.056,8.096
18,374.3304421877384,0.9343346272902957,38,75,K,11,955.242,11.594
18,374.3304421877384,0.9343346272902957,38,75,K,22,931.974,8.875
18,374.3304421877384,0.9343346272902957,38,75,K,33,936.69,9.426
19,310.0483221742001,0.9982725217901902,33,15,D,11,1006.19,6.588
19,310.0483221742001,0.9982725217901902,33,15,D,22,1006.19,6.588
19,310.0483221742001,0.9982725217901902,33,15,D,33,1024.26,8.502
19,310.0483221742001,0.9982725217901902,33,15,G,11,3373.355,6.147
19,310.0483221742001,0.9982725217901902,33,15,G,22,3450.071,8.561
19,310.0483221742001,0.9982725217901902,33,15,G,33,3650.168,14.857
19,310.0483221742001,0.9982725217901902,33,15,I,11,766.393,12.705
19,310.0483221742001,0.9982725217901902,33,15,I,22,757.593,11.411
19,310.0483221742001,0.9982725217901902,33,15,I,33,735.056,8.096
19,310.0483221742001,0.9982725217901902,33,15,K,11,905.615,5.796
19,310.0483221742001,0.9982725217901902,33,15,K,22,919.92,7.467
19,310.0483221742001,0.9982725217901902,33,15,K,33,918.93,7.352
20,260.2272717459543,0.9950910831535917,38,74,D,11,992.334,5.12
20,260.2272717459543,0.9950910831535917,38,74,D,22,1011.86,7.189
20,260.2272717459543,0.9950910831535917,38,74,D,33,989.073,4.775
20,260.2272717459543,0.9950910831535917,38,74,G,11,3521.821,10.819
20,260.2272717459543,0.9950910831535917,38,74,G,22,3516.675,10.657
20,260.2272717459543,0.9950910831535917,38,74,G,33,3529.572,11.063
20,260.2272717459543,0.9950910831535917,38,74,I,11,729.457,7.273
20,260.2272717459543,0.9950910831535917,38,74,I,22,735.056,8.096
20,260.2272717459543,0.9950910831535917,38,74,I,33,735.056,8.096
20,260.2272717459543,0.9950910831535917,38,74,K,11,955.863,11.666
20,260.2272717459543,0.9950910831535917,38,74,K,22,946.499,10.572
20,260.2272717459543,0.9950910831535917,38,74,K,33,948.178,10.768
21,308.97350230457397,0.9413262365890132,36,72,D,11,1024.26,8.502
21,308.97350230457397,0.9413262365890132,36,72,D,22,1011.86,7.189
21,308.97350230457397,0.9413262365890132,36,72,D,33,989.073,4.775
21,308.97350230457397,0.9413262365890132,36,72,G,11,3521.821,10.819
21,308.97350230457397,0.9413262365890132,36,72,G,22,3516.675,10.657
21,308.97350230457397,0.9413262365890132,36,72,G,33,3529.572,11.063
21,308.97350230457397,0.9413262365890132,36,72,I,11,729.457,7.273
21,308.97350230457397,0.9413262365890132,36,72,I,22,735.056,8.096
21,308.97350230457397,0.9413262365890132,36,72,I,33,735.056,8.096
21,308.97350230457397,0.9413262365890132,36,72,K,11,955.242,11.594
21,308.97350230457397,0.9413262365890132,36,72,K,22,946.499,10.572
21,308.97350230457397,0.9413262365890132,36,72,K,33,947.999,10.748
22,250.7112544647135,0.9047476936467117,42,74,D,11,992.334,5.12
22,250.7112544647135,0.9047476936467117,42,74,D,22,1011.86,7.189
22,250.7112544647135,0.9047476936467117,42,74,D,33,989.073,4.775
22,250.7112544647135,0.9047476936467117,42,74,G,11,3521.821,10.819
22,250.7112544647135,0.9047476936467117,42,74,G,22,3516.675,10.657
22,250.7112544647135,0.9047476936467117,42,74,G,33,3529.572,11.063
22,250.7112544647135,0.9047476936467117,42,74,I,11,729.457,7.273
22,250.7112544647135,0.9047476936467117,42,74,I,22,735.056,8.096
22,250.7112544647135,0.9047476936467117,42,74,I,33,735.056,8.096
22,250.7112544647135,0.9047476936467117,42,74,K,11,955.863,11.666
22,250.7112544647135,0.9047476936467117,42,74,K,22,946.499,10.572
22,250.7112544647135,0.9047476936467117,42,74,K,33,936.69,9.426
23,242.46628452209097,0.9017153847908023,50,59,D,11,1006.19,6.588
23,242.46628452209097,0.9017153847908023,50,59,D,22,992.392,5.126
23,242.46628452209097,0.9017153847908023,50,59,D,33,989.073,4.775
23,242.46628452209097,0.9017153847908023,50,59,G,11,3521.821,10.819
23,242.46628452209097,0.9017153847908023,50,59,G,22,3516.675,10.657
23,242.46628452209097,0.9017153847908023,50,59,G,33,3529.572,11.063
23,242.46628452209097,0.9017153847908023,50,59,I,11,735.056,8.096
23,242.46628452209097,0.9017153847908023,50,59,I,22,735.056,8.096
23,242.46628452209097,0.9017153847908023,50,59,I,33,735.056,8.096
23,242.46628452209097,0.9017153847908023,50,59,K,11,937.304,9.498
23,242.46628452209097,0.9017153847908023,50,59,K,22,919.92,7.467
23,242.46628452209097,0.9017153847908023,50,59,K,33,936.69,9.426
24,423.6628229766247,0.9427600195293404,92,44,D,11,1006.19,6.588
24,423.6628229766247,0.9427600195293404,92,44,D,22,992.392,5.126
24,423.6628229766247,0.9427600195293404,92,44,D,33,989.073,4.775
24,423.6628229766247,0.9427600195293404,92,44,G,11,3391.472,6.717
24,423.6628229766247,0.9427600195293404,92,44,G,22,3357.659,5.653
24,423.6628229766247,0.9427600195293404,92,44,G,33,3386.043,6.546
24,423.6628229766247,0.9427600195293404,92,44,I,11,735.056,8.096
24,423.6628229766247,0.9427600195293404,92,44,I,22,733.609,7.884
24,423.6628229766247,0.9427600195293404,92,44,I,33,735.056,8.096
24,423.6628229766247,0.9427600195293404,92,44,K,11,915.509,6.952
24,423.6628229766247,0.9427600195293404,92,44,K,22,919.92,7.467
24,423.6628229766247,0.9427600195293404,92,44,K,33,926.23,8.204
25,457.0935795726972,0.9053658688644874,74,44,D,11,1006.19,6.588
25,457.0935795726972,0.9053658688644874,74,44,D,22,992.392,5.126
25,457.0935795726972,0.9053658688644874,74,44,D,33,989.073,4.775
25,457.0935795726972,0.9053658688644874,74,44,G,11,3391.472,6.717
25,457.0935795726972,0.9053658688644874,74,44,G,22,3357.659,5.653
25,457.0935795726972,0.9053658688644874,74,44,G,33,3386.043,6.546
25,457.0935795726972,0.9053658688644874,74,44,I,11,735.056,8.096
25,457.0935795726972,0.9053658688644874,74,44,I,22,733.609,7.884
25,457.0935795726972,0.9053658688644874,74,44,I,33,735.056,8.096
25,457.0935795726972,0.9053658688644874,74,44,K,11,915.509,6.952
25,457.0935795726972,0.9053658688644874,74,44,K,22,919.92,7.467
25,457.0935795726972,0.9053658688644874,74,44,K,33,926.23,8.204
26,477.925247003097,0.919059784646691,78,45,D,11,1006.19,6.588
26,477.925247003097,0.919059784646691,78,45,D,22,992.392,5.126
26,477.925247003097,0.919059784646691,78,45,D,33,989.073,4.775
26,477.925247003097,0.919059784646691,78,45,G,11,3410.569,7.318
26,477.925247003097,0.919059784646691,78,45,G,22,3357.659,5.653
26,477.925247003097,0.919059784646691,78,45,G,33,3439.79,8.238
26,477.925247003097,0.919059784646691,78,45,I,11,735.056,8.096
26,477.925247003097,0.919059784646691,78,45,I,22,733.609,7.884
26,477.925247003097,0.919059784646691,78,45,I,33,735.056,8.096
26,477.925247003097,0.919059784646691,78,45,K,11,915.509,6.952
26,477.925247003097,0.919059784646691,78,45,K,22,919.92,7.467
26,477.925247003097,0.919059784646691,78,45,K,33,926.23,8.204
27,483.8484786386839,0.9211263517202707,84,44,D,11,1006.19,6.588
27,483.8484786386839,0.9211263517202707,84,44,D,22,992.392,5.126
27,483.8484786386839,0.9211263517202707,84,44,D,33,989.073,4.775
27,483.8484786386839,0.9211263517202707,84,44,G,11,3391.472,6.717
27,483.8484786386839,0.9211263517202707,84,44,G,22,3357.659,5.653
27,483.8484786386839,0.9211263517202707,84,44,G,33,3386.043,6.546
27,483.8484786386839,0.9211263517202707,84,44,I,11,735.056,8.096
27,483.8484786386839,0.9211263517202707,84,44,I,22,733.609,7.884
27,483.8484786386839,0.9211263517202707,84,44,I,33,735.056,8.096
27,483.8484786386839,0.9211263517202707,84,44,K,11,915.509,6.952
27,483.8484786386839,0.9211263517202707,84,44,K,22,919.92,7.467
27,483.8484786386839,0.9211263517202707,84,44,K,33,925.724,8.145
28,123.78140759712855,0.9446890086356747,80,39,D,11,1006.19,6.588
28,123.78140759712855,0.9446890086356747,80,39,D,22,992.392,5.126
28,123.78140759712855,0.9446890086356747,80,39,D,33,989.073,4.775
28,123.78140759712855,0.9446890086356747,80,39,G,11,3391.472,6.717
28,123.78140759712855,0.9446890086356747,80,39,G,22,3357.659,5.653
28,123.78140759712855,0.9446890086356747,80,39,G,33,3386.043,6.546
28,123.78140759712855,0.9446890086356747,80,39,I,11,735.056,8.096
28,123.78140759712855,0.9446890086356747,80,39,I,22,733.609,7.884
28,123.78140759712855,0.9446890086356747,80,39,I,33,735.056,8.096
28,123.78140759712855,0.9446890086356747,80,39,K,11,915.509,6.952
28,123.78140759712855,0.9446890086356747,80,39,K,22,919.92,7.467
28,123.78140759712855,0.9446890086356747,80,39,K,33,926.23,8.204
29,111.05357134106376,0.9173057029069015,94,36,D,11,1006.19,6.588
29,111.05357134106376,0.9173057029069015,94,36,D,22,992.392,5.126
29,111.05357134106376,0.9173057029069015,94,36,D,33,1024.26,8.502
29,111.05357134106376,0.9173057029069015,94,36,G,11,3391.472,6.717
29,111.05357134106376,0.9173057029069015,94,36,G,22,3357.659,5.653
29,111.05357134106376,0.9173057029069015,94,36,G,33,3386.043,6.546
29,111.05357134106376,0.9173057029069015,94,36,I,11,735.056,8.096
29,111.05357134106376,0.9173057029069015,94,36,I,22,733.609,7.884
29,111.05357134106376,0.9173057029069015,94,36,I,33,735.056,8.096
29,111.05357134106376,0.9173057029069015,94,36,K,11,915.509,6.952
29,111.05357134106376,0.9173057029069015,94,36,K,22,919.92,7.467
29,111.05357134106376,0.9173057029069015,94,36,K,33,926.23,8.204
30,141.98052859377214,0.9450223714013647,93,55,D,11,1006.19,6.588
30,141.98052859377214,0.9450223714013647,93,55,D,22,992.392,5.126
30,141.98052859377214,0.9450223714013647,93,55,D,33,989.073,4.775
30,141.98052859377214,0.9450223714013647,93,55,G,11,3432.083,7.995
30,141.98052859377214,0.9450223714013647,93,55,G,22,3516.675,10.657
30,141.98052859377214,0.9450223714013647,93,55,G,33,3529.572,11.063
30,141.98052859377214,0.9450223714013647,93,55,I,11,735.056,8.096
30,141.98052859377214,0.9450223714013647,93,55,I,22,735.056,8.096
30,141.98052859377214,0.9450223714013647,93,55,I,33,735.056,8.096
30,141.98052859377214,0.9450223714013647,93,55,K,11,937.304,9.498
30,141.98052859377214,0.9450223714013647,93,55,K,22,919.92,7.467
30,141.98052859377214,0.9450223714013647,93,55,K,33,926.23,8.204
31,127.5063773270489,0.9135012878018475,18,54,D,11,1006.19,6.588
31,127.5063773270489,0.9135012878018475,18,54,D,22,992.392,5.126
31,127.5063773270489,0.9135012878018475,18,54,D,33,989.073,4.775
31,127.5063773270489,0.9135012878018475,18,54,G,11,3521.821,10.819
31,127.5063773270489,0.9135012878018475,18,54,G,22,3399.088,6.957
31,127.5063773270489,0.9135012878018475,18,54,G,33,3505.189,10.295
31,127.5063773270489,0.9135012878018475,18,54,I,11,735.056,8.096
31,127.5063773270489,0.9135012878018475,18,54,I,22,735.056,8.096
31,127.5063773270489,0.9135012878018475,18,54,I,33,735.056,8.096
31,127.5063773270489,0.9135012878018475,18,54,K,11,937.304,9.498
31,127.5063773270489,0.9135012878018475,18,54,K,22,919.92,7.467
31,127.5063773270489,0.9135012878018475,18,54,K,33,926.23,8.204
32,89.55831375863232,0.9133577995446813,23,33,D,11,1006.19,6.588
32,89.55831375863232,0.9133577995446813,23,33,D,22,992.392,5.126
32,89.55831375863232,0.9133577995446813,23,33,D,33,1024.26,8.502
32,89.55831375863232,0.9133577995446813,23,33,G,11,3390.167,6.676
32,89.55831375863232,0.9133577995446813,23,33,G,22,3421.086,7.649
32,89.55831375863232,0.9133577995446813,23,33,G,33,3390.663,6.692
32,89.55831375863232,0.9133577995446813,23,33,I,11,729.586,7.292
32,89.55831375863232,0.9133577995446813,23,33,I,22,733.609,7.884
32,89.55831375863232,0.9133577995446813,23,33,I,33,735.056,8.096
32,89.55831375863232,0.9133577995446813,23,33,K,11,905.615,5.796
32,89.55831375863232,0.9133577995446813,23,33,K,22,919.92,7.467
32,89.55831375863232,0.9133577995446813,23,33,K,33,925.724,8.145
33,83.44032413361695,0.9807139918551847,20,30,D,11,1015.491,7.573
33,83.44032413361695,0.9807139918551847,20,30,D,22,992.392,5.126
33,83.44032413361695,0.9807139918551847,20,30,D,33,1024.26,8.502
33,83.44032413361695,0.9807139918551847,20,30,G,11,3390.167,6.676
33,83.44032413361695,0.9807139918551847,20,30,G,22,3372.485,6.12
33,83.44032413361695,0.9807139918551847,20,30,G,33,3387.099,6.58
33,83.44032413361695,0.9807139918551847,20,30,I,11,729.586,7.292
33,83.44032413361695,0.9807139918551847,20,30,I,22,733.609,7.884
33,83.44032413361695,0.9807139918551847,20,30,I,33,735.056,8.096
33,83.44032413361695,0.9807139918551847,20,30,K,11,905.615,5.796
33,83.44032413361695,0.9807139918551847,20,30,K,22,919.92,7.467
33,83.44032413361695,0.9807139918551847,20,30,K,33,924.668,8.022
34,343.7841367428286,0.9247703839588773,70,33,D,11,1006.19,6.588
34,343.7841367428286,0.9247703839588773,70,33,D,22,992.392,5.126
34,343.7841367428286,0.9247703839588773,70,33,D,33,1024.26,8.502
34,343.7841367428286,0.9247703839588773,70,33,G,11,3391.472,6.717
34,343.7841367428286,0.9247703839588773,70,33,G,22,3421.086,7.649
34,343.7841367428286,0.9247703839588773,70,33,G,33,3387.099,6.58
34,343.7841367428286,0.9247703839588773,70,33,I,11,729.586,7.292
34,343.7841367428286,0.9247703839588773,70,33,I,22,733.609,7.884
34,343.7841367428286,0.9247703839588773,70,33,I,33,735.056,8.096
34,343.7841367428286,0.9247703839588773,70,33,K,11,910.986,6.424
34,343.7841367428286,0.9247703839588773,70,33,K,22,919.92,7.467
34,343.7841367428286,0.9247703839588773,70,33,K,33,924.668,8.022
35,357.38135514439347,0.9271380001703674,68,32,D,11,1006.19,6.588
35,357.38135514439347,0.9271380001703674,68,32,D,22,992.392,5.126
35,357.38135514439347,0.9271380001703674,68,32,D,33,1024.26,8.502
35,357.38135514439347,0.9271380001703674,68,32,G,11,3391.472,6.717
35,357.38135514439347,0.9271380001703674,68,32,G,22,3421.086,7.649
35,357.38135514439347,0.9271380001703674,68,32,G,33,3387.099,6.58
35,357.38135514439347,0.9271380001703674,68,32,I,11,729.586,7.292
35,357.38135514439347,0.9271380001703674,68,32,I,22,733.609,7.884
35,357.38135514439347,0.9271380001703674,68,32,I,33,735.056,8.096
35,357.38135514439347,0.9271380001703674,68,32,K,11,910.986,6.424
35,357.38135514439347,0.9271380001703674,68,32,K,22,919.92,7.467
35,357.38135514439347,0.9271380001703674,68,32,K,33,924.668,8.022
36,338.7696062538674,0.9255704028528453,67,28,D,11,1006.19,6.588
36,338.7696062538674,0.9255704028528453,67,28,D,22,992.392,5.126
36,338.7696062538674,0.9255704028528453,67,28,D,33,1024.26,8.502
36,338.7696062538674,0.9255704028528453,67,28,G,11,3390.167,6.676
36,338.7696062538674,0.9255704028528453,67,28,G,22,3372.485,6.12
36,338.7696062538674,0.9255704028528453,67,28,G,33,3387.099,6.58
36,338.7696062538674,0.9255704028528453,67,28,I,11,729.586,7.292
36,338.7696062538674,0.9255704028528453,67,28,I,22,733.609,7.884
