trial_number,perturbation_steps,construction_iterations,instance,seed,obj_val,gap_pct
28,17,52,G,22,3516.675,10.657
28,17,52,G,33,3529.572,11.063
28,17,52,I,11,738.671,8.628
28,17,52,I,22,738.671,8.628
28,17,52,I,33,735.056,8.096
28,17,52,K,11,937.304,9.498
28,17,52,K,22,940.074,9.822
28,17,52,K,33,946.091,10.525
29,9,100,D,11,992.334,5.12
29,9,100,D,22,1011.86,7.189
29,9,100,D,33,1021.156,8.173
29,9,100,G,11,3521.821,10.819
29,9,100,G,22,3516.675,10.657
29,9,100,G,33,3529.572,11.063
29,9,100,I,11,731.846,7.624
29,9,100,I,22,734.166,7.966
29,9,100,I,33,735.056,8.096
29,9,100,K,11,955.863,11.666
29,9,100,K,22,959.225,12.059
29,9,100,K,33,954.944,11.559
